Expression	Value	Location	Type	
Xnormal	Error (col 1): Unknown or ambiguous symbol. Xnormal			
ADC_buffer1	<array>	0x20000000	uint16_t[3000]	
[428]	156	0x20000358	uint16_t	
[429]	126	0x2000035A	uint16_t	
[430]	171	0x2000035C	uint16_t	
[431]	147	0x2000035E	uint16_t	
[432]	112	0x20000360	uint16_t	
[433]	131	0x20000362	uint16_t	
[434]	88	0x20000364	uint16_t	
[435]	96	0x20000366	uint16_t	
[436]	108	0x20000368	uint16_t	
[437]	134	0x2000036A	uint16_t	
[438]	103	0x2000036C	uint16_t	
[439]	141	0x2000036E	uint16_t	
[440]	110	0x20000370	uint16_t	
[441]	147	0x20000372	uint16_t	
[442]	111	0x20000374	uint16_t	
[443]	152	0x20000376	uint16_t	
[444]	112	0x20000378	uint16_t	
[445]	132	0x2000037A	uint16_t	
[446]	91	0x2000037C	uint16_t	
[447]	107	0x2000037E	uint16_t	
[448]	131	0x20000380	uint16_t	
[449]	88	0x20000382	uint16_t	
[450]	96	0x20000384	uint16_t	
[451]	107	0x20000386	uint16_t	
[452]	131	0x20000388	uint16_t	
[453]	88	0x2000038A	uint16_t	
[454]	96	0x2000038C	uint16_t	
[455]	107	0x2000038E	uint16_t	
[456]	131	0x20000390	uint16_t	
[457]	89	0x20000392	uint16_t	
[458]	99	0x20000394	uint16_t	
[459]	119	0x20000396	uint16_t	
[460]	164	0x20000398	uint16_t	
[461]	138	0x2000039A	uint16_t	
[462]	96	0x2000039C	uint16_t	
[463]	106	0x2000039E	uint16_t	
[464]	128	0x200003A0	uint16_t	
[465]	76	0x200003A2	uint16_t	
[466]	87	0x200003A4	uint16_t	
[467]	116	0x200003A6	uint16_t	
[468]	147	0x200003A8	uint16_t	
[469]	111	0x200003AA	uint16_t	
[470]	152	0x200003AC	uint16_t	
[471]	111	0x200003AE	uint16_t	
[472]	152	0x200003B0	uint16_t	
[473]	112	0x200003B2	uint16_t	
[474]	131	0x200003B4	uint16_t	
[475]	88	0x200003B6	uint16_t	
[476]	97	0x200003B8	uint16_t	
[477]	110	0x200003BA	uint16_t	
[478]	148	0x200003BC	uint16_t	
[479]	115	0x200003BE	uint16_t	
[480]	142	0x200003C0	uint16_t	
[481]	116	0x200003C2	uint16_t	
[482]	147	0x200003C4	uint16_t	
[483]	111	0x200003C6	uint16_t	
[484]	152	0x200003C8	uint16_t	
[485]	112	0x200003CA	uint16_t	
[486]	131	0x200003CC	uint16_t	
[487]	88	0x200003CE	uint16_t	
[488]	96	0x200003D0	uint16_t	
[489]	106	0x200003D2	uint16_t	
[490]	128	0x200003D4	uint16_t	
[491]	76	0x200003D6	uint16_t	
[492]	87	0x200003D8	uint16_t	
[493]	116	0x200003DA	uint16_t	
[494]	146	0x200003DC	uint16_t	
[495]	108	0x200003DE	uint16_t	
[496]	134	0x200003E0	uint16_t	
[497]	104	0x200003E2	uint16_t	
[498]	119	0x200003E4	uint16_t	
[499]	164	0x200003E6	uint16_t	
[500]	138	0x200003E8	uint16_t	
[501]	95	0x200003EA	uint16_t	
[502]	128	0x200003EC	uint16_t	
[503]	77	0x200003EE	uint16_t	
[504]	94	0x200003F0	uint16_t	
[505]	123	0x200003F2	uint16_t	
[506]	155	0x200003F4	uint16_t	
[507]	123	0x200003F6	uint16_t	
[508]	156	0x200003F8	uint16_t	
[509]	126	0x200003FA	uint16_t	
[510]	172	0x200003FC	uint16_t	
[511]	150	0x200003FE	uint16_t	
[512]	128	0x20000400	uint16_t	
[513]	76	0x20000402	uint16_t	
[514]	87	0x20000404	uint16_t	
[515]	116	0x20000406	uint16_t	
[516]	147	0x20000408	uint16_t	
[517]	112	0x2000040A	uint16_t	
[518]	131	0x2000040C	uint16_t	
[519]	88	0x2000040E	uint16_t	
[520]	96	0x20000410	uint16_t	
[521]	107	0x20000412	uint16_t	
[522]	131	0x20000414	uint16_t	
[523]	88	0x20000416	uint16_t	
[524]	96	0x20000418	uint16_t	
[525]	106	0x2000041A	uint16_t	
[526]	128	0x2000041C	uint16_t	
[527]	77	0x2000041E	uint16_t	
[528]	94	0x20000420	uint16_t	
[529]	123	0x20000422	uint16_t	
[530]	155	0x20000424	uint16_t	
[531]	123	0x20000426	uint16_t	
[532]	155	0x20000428	uint16_t	
[533]	123	0x2000042A	uint16_t	
[534]	155	0x2000042C	uint16_t	
[535]	123	0x2000042E	uint16_t	
[536]	155	0x20000430	uint16_t	
[537]	123	0x20000432	uint16_t	
[538]	155	0x20000434	uint16_t	
[539]	123	0x20000436	uint16_t	
[540]	155	0x20000438	uint16_t	
[541]	123	0x2000043A	uint16_t	
[542]	156	0x2000043C	uint16_t	
[543]	128	0x2000043E	uint16_t	
[544]	76	0x20000440	uint16_t	
[545]	87	0x20000442	uint16_t	
[546]	115	0x20000444	uint16_t	
[547]	144	0x20000446	uint16_t	
[548]	100	0x20000448	uint16_t	
[549]	122	0x2000044A	uint16_t	
[550]	150	0x2000044C	uint16_t	
[551]	128	0x2000044E	uint16_t	
[552]	76	0x20000450	uint16_t	
[553]	88	0x20000452	uint16_t	
[554]	95	0x20000454	uint16_t	
[555]	128	0x20000456	uint16_t	
[556]	77	0x20000458	uint16_t	
[557]	94	0x2000045A	uint16_t	
[558]	124	0x2000045C	uint16_t	
[559]	159	0x2000045E	uint16_t	
[560]	143	0x20000460	uint16_t	
[561]	119	0x20000462	uint16_t	
[562]	164	0x20000464	uint16_t	
[563]	139	0x20000466	uint16_t	
[564]	100	0x20000468	uint16_t	
[565]	122	0x2000046A	uint16_t	
[566]	151	0x2000046C	uint16_t	
[567]	131	0x2000046E	uint16_t	
[568]	89	0x20000470	uint16_t	
[569]	99	0x20000472	uint16_t	
[570]	119	0x20000474	uint16_t	
[571]	164	0x20000476	uint16_t	
[572]	138	0x20000478	uint16_t	
[573]	96	0x2000047A	uint16_t	
[574]	107	0x2000047C	uint16_t	
[575]	131	0x2000047E	uint16_t	
[576]	88	0x20000480	uint16_t	
[577]	96	0x20000482	uint16_t	
[578]	107	0x20000484	uint16_t	
[579]	132	0x20000486	uint16_t	
[580]	92	0x20000488	uint16_t	
[581]	110	0x2000048A	uint16_t	
[582]	147	0x2000048C	uint16_t	
[583]	112	0x2000048E	uint16_t	
[584]	132	0x20000490	uint16_t	
[585]	91	0x20000492	uint16_t	
[586]	107	0x20000494	uint16_t	
[587]	132	0x20000496	uint16_t	
[588]	92	0x20000498	uint16_t	
[589]	110	0x2000049A	uint16_t	
[590]	148	0x2000049C	uint16_t	
[591]	115	0x2000049E	uint16_t	
[592]	143	0x200004A0	uint16_t	
[593]	120	0x200004A2	uint16_t	
[594]	144	0x200004A4	uint16_t	
[595]	100	0x200004A6	uint16_t	
[596]	122	0x200004A8	uint16_t	
[597]	151	0x200004AA	uint16_t	
[598]	131	0x200004AC	uint16_t	
[599]	88	0x200004AE	uint16_t	
[600]	96	0x200004B0	uint16_t	
