Expression	Value	Location	Type	
sinus	Error (col 1): Unknown or ambiguous symbol. sinus			
GPIOB_DATA	Error (col 1): Unknown or ambiguous symbol. GPIOB_DATA			
DATA	Error (col 1): Unknown or ambiguous symbol. DATA			
tempc	Error (col 1): Unknown or ambiguous symbol. tempc			
adc_buffer	<array>	0x20000000	uint16_t[3000]	
[482]	1244	0x200003C4	uint16_t	
[483]	1241	0x200003C6	uint16_t	
[484]	1252	0x200003C8	uint16_t	
[485]	1248	0x200003CA	uint16_t	
[486]	1261	0x200003CC	uint16_t	
[487]	1264	0x200003CE	uint16_t	
[488]	1281	0x200003D0	uint16_t	
[489]	1249	0x200003D2	uint16_t	
[490]	1239	0x200003D4	uint16_t	
[491]	1227	0x200003D6	uint16_t	
[492]	1232	0x200003D8	uint16_t	
[493]	1253	0x200003DA	uint16_t	
[494]	1268	0x200003DC	uint16_t	
[495]	1265	0x200003DE	uint16_t	
[496]	1258	0x200003E0	uint16_t	
[497]	1256	0x200003E2	uint16_t	
[498]	1229	0x200003E4	uint16_t	
[499]	1227	0x200003E6	uint16_t	
[500]	1242	0x200003E8	uint16_t	
[501]	1271	0x200003EA	uint16_t	
[502]	1276	0x200003EC	uint16_t	
[503]	1288	0x200003EE	uint16_t	
[504]	1248	0x200003F0	uint16_t	
[505]	1232	0x200003F2	uint16_t	
[506]	1232	0x200003F4	uint16_t	
[507]	1253	0x200003F6	uint16_t	
[508]	1266	0x200003F8	uint16_t	
[509]	1269	0x200003FA	uint16_t	
[510]	1259	0x200003FC	uint16_t	
[511]	1249	0x200003FE	uint16_t	
[512]	1235	0x20000400	uint16_t	
[513]	1238	0x20000402	uint16_t	
[514]	1253	0x20000404	uint16_t	
[515]	1266	0x20000406	uint16_t	
[516]	1265	0x20000408	uint16_t	
[517]	1258	0x2000040A	uint16_t	
[518]	1256	0x2000040C	uint16_t	
[519]	1231	0x2000040E	uint16_t	
[520]	1243	0x20000410	uint16_t	
[521]	1258	0x20000412	uint16_t	
[522]	1274	0x20000414	uint16_t	
[523]	1265	0x20000416	uint16_t	
[524]	1240	0x20000418	uint16_t	
[525]	1219	0x2000041A	uint16_t	
[526]	1227	0x2000041C	uint16_t	
[527]	1247	0x2000041E	uint16_t	
[528]	1277	0x20000420	uint16_t	
[529]	1301	0x20000422	uint16_t	
[530]	1279	0x20000424	uint16_t	
[531]	1243	0x20000426	uint16_t	
[532]	1206	0x20000428	uint16_t	
[533]	1211	0x2000042A	uint16_t	
[534]	1224	0x2000042C	uint16_t	
[535]	1275	0x2000042E	uint16_t	
[536]	1309	0x20000430	uint16_t	
[537]	1295	0x20000432	uint16_t	
[538]	1263	0x20000434	uint16_t	
[539]	1212	0x20000436	uint16_t	
[540]	1189	0x20000438	uint16_t	
[541]	1218	0x2000043A	uint16_t	
[542]	1246	0x2000043C	uint16_t	
[543]	1312	0x2000043E	uint16_t	
[544]	1311	0x20000440	uint16_t	
[545]	1276	0x20000442	uint16_t	
[546]	1239	0x20000444	uint16_t	
[547]	1209	0x20000446	uint16_t	
[548]	1197	0x20000448	uint16_t	
[549]	1229	0x2000044A	uint16_t	
[550]	1266	0x2000044C	uint16_t	
[551]	1294	0x2000044E	uint16_t	
[552]	1299	0x20000450	uint16_t	
[553]	1259	0x20000452	uint16_t	
[554]	1227	0x20000454	uint16_t	
[555]	1200	0x20000456	uint16_t	
[556]	1238	0x20000458	uint16_t	
[557]	1256	0x2000045A	uint16_t	
[558]	1269	0x2000045C	uint16_t	
[559]	1280	0x2000045E	uint16_t	
[560]	1272	0x20000460	uint16_t	
[561]	1245	0x20000462	uint16_t	
[562]	1220	0x20000464	uint16_t	
[563]	1228	0x20000466	uint16_t	
[564]	1253	0x20000468	uint16_t	
[565]	1285	0x2000046A	uint16_t	
[566]	1278	0x2000046C	uint16_t	
[567]	1266	0x2000046E	uint16_t	
[568]	1249	0x20000470	uint16_t	
[569]	1221	0x20000472	uint16_t	
[570]	1221	0x20000474	uint16_t	
[571]	1236	0x20000476	uint16_t	
[572]	1256	0x20000478	uint16_t	
[573]	1272	0x2000047A	uint16_t	
[574]	1282	0x2000047C	uint16_t	
